"filename", "language", "TypeScript JSX", "TypeScript", "JSON with Comments", "JSON", "Markdown", "XML", "JavaScript", "comment", "blank", "total"
"/home/anonymous/Documents/Projects/SkillHive-mobile/README.md", "Markdown", 0, 0, 0, 0, 31, 0, 0, 0, 20, 51
"/home/anonymous/Documents/Projects/SkillHive-mobile/app.json", "JSON with Comments", 0, 0, 58, 0, 0, 0, 0, 0, 1, 59
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/(auth)/_layout.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/(auth)/index.tsx", "TypeScript JSX", 221, 0, 0, 0, 0, 0, 0, 0, 15, 236
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/(auth)/sign-in.tsx", "TypeScript JSX", 263, 0, 0, 0, 0, 0, 0, 17, 22, 302
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/(auth)/sign-up.tsx", "TypeScript JSX", 263, 0, 0, 0, 0, 0, 0, 17, 22, 302
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/+not-found.tsx", "TypeScript JSX", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/_layout.tsx", "TypeScript JSX", 60, 0, 0, 0, 0, 0, 0, 3, 10, 73
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/course/_layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/course/index.tsx", "TypeScript JSX", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/main/_layout.tsx", "TypeScript JSX", 88, 0, 0, 0, 0, 0, 0, 1, 14, 103
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/main/chat.tsx", "TypeScript JSX", 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/main/index.tsx", "TypeScript JSX", 488, 0, 0, 0, 0, 0, 0, 13, 35, 536
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/main/learn.tsx", "TypeScript JSX", 71, 0, 0, 0, 0, 0, 0, 1, 6, 78
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/main/profile.tsx", "TypeScript JSX", 330, 0, 0, 0, 0, 0, 0, 2, 47, 379
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/main/tabs.tsx", "TypeScript JSX", 164, 0, 0, 0, 0, 0, 0, 4, 15, 183
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/rooms/[roomName].tsx", "TypeScript JSX", 2369, 0, 0, 0, 0, 0, 0, 50, 125, 2544
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/settings/index.tsx", "TypeScript JSX", 236, 0, 0, 0, 0, 0, 0, 0, 10, 246
"/home/anonymous/Documents/Projects/SkillHive-mobile/app/settings/username.tsx", "TypeScript JSX", 182, 0, 0, 0, 0, 0, 0, 0, 25, 207
"/home/anonymous/Documents/Projects/SkillHive-mobile/assets/images/right-arrow.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 1, 0, 9
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/CustomAlert.tsx", "TypeScript JSX", 189, 0, 0, 0, 0, 0, 0, 11, 20, 220
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/CustomLoading.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 0, 0, 9, 11, 88
