"filename", "language", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "TypeScript", "Markdown", "XML", "comment", "blank", "total"
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/IconButton.tsx", "TypeScript JSX", 0, 0, 0, 136, 0, 0, 0, 8, 13, 157
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/MenuItem.tsx", "TypeScript JSX", 0, 0, 0, 93, 0, 0, 0, 0, 12, 105
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/OfferCard.tsx", "TypeScript JSX", 0, 0, 0, 134, 0, 0, 0, 3, 42, 179
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/ProfileImageEditButton.tsx", "TypeScript JSX", 0, 0, 0, 76, 0, 0, 0, 4, 10, 90
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/ProfileProjects.tsx", "TypeScript JSX", 0, 0, 0, 415, 0, 0, 0, 23, 52, 490
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/ProfileStatItem.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 11, 82
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/ProjectCard.tsx", "TypeScript JSX", 0, 0, 0, 66, 0, 0, 0, 1, 22, 89
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/SectionHeader.tsx", "TypeScript JSX", 0, 0, 0, 46, 0, 0, 0, 0, 12, 58
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/ShareBar.tsx", "TypeScript JSX", 0, 0, 0, 70, 0, 0, 0, 0, 22, 92
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/Skeleton.tsx", "TypeScript JSX", 0, 0, 0, 54, 0, 0, 0, 6, 8, 68
"/home/anonymous/Documents/Projects/SkillHive-mobile/components/ui/StatCard.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 7, 78
